Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.9977,1.0,0.9977,0.9977,0.9977,0.996,0.996,5.137
Extreme Gradient Boosting,0.9968,1.0,0.9968,0.9968,0.9968,0.9944,0.9944,4.482
K Neighbors Classifier,0.9745,0.9973,0.9745,0.9745,0.9745,0.9551,0.9552,4.683
Naive Bayes,0.933,0.9891,0.933,0.9329,0.9329,0.882,0.8821,3.424
Quadratic Discriminant Analysis,0.9292,0.988,0.9292,0.9292,0.9291,0.8752,0.8753,3.434
Linear Discriminant Analysis,0.9253,0.9997,0.9253,0.9338,0.9238,0.8623,0.8706,3.598
Logistic Regression,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,3.479
Decision Tree Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,3.56
SVM - Linear Kernel,0.5862,0.0,0.5862,0.3437,0.4333,0.0,0.0,3.528
Ridge Classifier,0.5862,0.0,0.5862,0.3437,0.4333,0.0,0.0,3.415
Random Forest Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,4.547
Ada Boost Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,11.57
Gradient Boosting Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,50.481
Extra Trees Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,4.219
Dummy Classifier,0.5862,0.5,0.5862,0.3437,0.4333,0.0,0.0,3.829
