                                    Model  Accuracy     AUC  Recall   Prec.  \
lightgbm  Light Gradient Boosting Machine    0.9977  1.0000  0.9977  0.9977   
xgboost         Extreme Gradient Boosting    0.9976  1.0000  0.9976  0.9976   
knn                K Neighbors Classifier    0.9691  0.9967  0.9691  0.9692   
nb                            Naive Bayes    0.9339  0.9911  0.9339  0.9343   
lda          Linear Discriminant Analysis    0.9330  0.9995  0.9330  0.9412   
qda       Quadratic Discriminant Analysis    0.9291  0.9899  0.9291  0.9296   
lr                    Logistic Regression    0.4838  0.5000  0.4838  0.2340   
dt               Decision Tree Classifier    0.4838  0.5000  0.4838  0.2340   
ridge                    Ridge Classifier    0.4838  0.0000  0.4838  0.2340   
rf               Random Forest Classifier    0.4838  0.5000  0.4838  0.2340   
ada                  Ada Boost Classifier    0.4838  0.5000  0.4838  0.2340   
gbc          Gradient Boosting Classifier    0.4838  0.5000  0.4838  0.2340   
et                 Extra Trees Classifier    0.4838  0.5000  0.4838  0.2340   
dummy                    Dummy Classifier    0.4838  0.5000  0.4838  0.2340   
svm                   SVM - Linear Kernel    0.3484  0.0000  0.3484  0.1336   

              F1   Kappa     MCC  TT (Sec)  
lightgbm  0.9977  0.9964  0.9964     0.405  
xgboost   0.9976  0.9963  0.9963     0.387  
knn       0.9691  0.9510  0.9511     1.431  
nb        0.9339  0.8950  0.8953     0.343  
lda       0.9328  0.8915  0.8968     0.325  
qda       0.9291  0.8873  0.8876     0.381  
lr        0.3155  0.0000  0.0000     0.398  
dt        0.3155  0.0000  0.0000     0.317  
ridge     0.3155  0.0000  0.0000     0.340  
rf        0.3155  0.0000  0.0000     0.416  
ada       0.3155  0.0000  0.0000     0.402  
gbc       0.3155  0.0000  0.0000     0.412  
et        0.3155  0.0000  0.0000     0.408  
dummy     0.3155  0.0000  0.0000     0.311  
svm       0.1897  0.0000  0.0000     0.312  
