,Eigenvalue
0,1.033251293216233e-21
1,3.0022981391108574e-22
2,1.0104752450992634e-22
3,9.299106172794276e-23
4,6.751200466661697e-23
5,5.239491048427103e-23
6,2.1545787527570713e-23
7,1.3481136521045472e-23
8,1.2554895132519953e-23
9,9.849699604136561e-24
10,8.691647234703788e-24
11,6.663626270379934e-24
12,5.8203557404455166e-24
13,4.848526445120884e-24
14,4.753613662206612e-24
15,3.691226108267048e-24
16,3.366796008925164e-24
17,3.068081536645359e-24
18,2.9740193085855174e-24
19,2.687815799502403e-24
20,2.4780902214423408e-24
21,2.2755339256616692e-24
22,2.027819095385055e-24
23,1.819966245383859e-24
24,1.7607395721608098e-24
25,1.5771583957704836e-24
26,1.5099344350121947e-24
27,1.454053250165376e-24
28,1.2697543931028352e-24
29,1.1998120284480175e-24
30,1.12245406691087e-24
31,1.0807870230384532e-24
32,1.0474606273253783e-24
33,1.0076937556903716e-24
34,9.179072121658512e-25
35,8.224860609188251e-25
36,7.842191331202401e-25
37,7.044030459736688e-25
38,6.869398776384918e-25
39,6.659878531219584e-25
40,6.201321729536912e-25
41,6.112792596002155e-25
42,5.807368326473832e-25
43,5.336394883846662e-25
44,5.138007226319595e-25
45,4.982565032444369e-25
46,4.902808041052648e-25
47,4.533251043225126e-25
48,4.306601994916896e-25
49,4.177678547629887e-25
50,4.022892229152406e-25
51,3.754474974554194e-25
52,3.356067915186939e-25
53,3.2155487173840986e-25
54,2.7962415092601054e-25
55,2.4545300950201767e-25
56,2.374941415384645e-25
57,1.824937369542015e-25
58,1.6943568606993591e-25
59,1.4945590038644556e-25
60,1.2730903213582411e-25
61,6.819345066086033e-26
62,2.4414927574579132e-26
63,1.3115633478523032e-51
